length,jarowinkler,jellyfish
1,1.5455875018233202e-07,9.263745000680501e-07
5,2.2342225020111072e-07,1.0236634998364026e-06
9,2.3410799985867924e-07,1.1832507498183987e-06
13,2.451430000292021e-07,1.405345999955898e-06
17,2.5366350018884986e-07,1.6968635000012e-06
21,2.6239349972456696e-07,2.0294477499192e-06
25,2.7084449993708406e-07,2.4232824998762224e-06
29,2.8027300004396237e-07,2.8486854998845954e-06
33,2.880254996853182e-07,3.3294032500634783e-06
37,2.9773324968118685e-07,3.9590920000591726e-06
41,3.09606250084471e-07,4.5166349996179636e-06
45,3.142857499369711e-07,5.101765249946766e-06
49,3.2455249993290636e-07,5.73892700003853e-06
53,3.339810000397847e-07,6.405631750112662e-06
57,3.4557449998828814e-07,7.1030667500053826e-06
61,3.5633024981507335e-07,7.816425500095647e-06
65,1.2240382502568537e-06,8.703479250016243e-06
69,1.3037270000495483e-06,9.487587249623174e-06
73,1.358342999992601e-06,1.0298235250047583e-05
77,1.422317500328063e-06,1.1138564999782829e-05
81,1.4740699998583295e-06,1.1978336749962182e-05
85,1.5347620001193718e-06,1.2846323999838205e-05
89,1.5967112499311043e-06,1.3730793999911838e-05
93,1.6503492497577099e-06,1.4638450999882479e-05
97,1.7095747498387937e-06,1.5575790750062878e-05
101,1.762583999607159e-06,1.6518228750101116e-05
105,1.8238347502119722e-06,1.7484412750036427e-05
109,1.8783807499858085e-06,1.84816067499014e-05
113,1.9350222496541392e-06,1.9502686000123505e-05
117,1.9945270000789607e-06,2.0501346250057396e-05
121,2.05277475015464e-06,2.1567682750173843e-05
125,2.1125587500137045e-06,2.285367025024243e-05
129,2.278780999859009e-06,
133,2.341149249787122e-06,
137,2.40414600011718e-06,
141,2.462114250192826e-06,
145,2.5239237502319156e-06,
149,2.5765842497094125e-06,
153,2.6457967496753556e-06,
157,2.7026474999729544e-06,
161,2.7578222502597784e-06,
165,2.8174667500024954e-06,
169,2.8704762498819036e-06,
173,2.9346602500481823e-06,
177,2.985923750202346e-06,
181,3.049618999739323e-06,
185,3.114222250133025e-06,
189,3.166882500408974e-06,
193,3.3537079998495754e-06,
197,3.41286350021619e-06,
201,3.4905970001091192e-06,
205,3.541650749866676e-06,
209,3.6143554998488982e-06,
213,3.683358750095067e-06,
217,3.735809750196495e-06,
221,3.7939872499919148e-06,
225,3.859707750052621e-06,
229,3.9283619998968786e-06,
233,3.979416000220226e-06,
237,4.033752250052203e-06,
241,4.092069749731308e-06,
245,4.166520499893522e-06,
249,4.210381000120833e-06,
253,4.275333500117995e-06,
257,4.527460249846627e-06,
261,4.596463500092796e-06,
265,4.660647500259074e-06,
269,4.707301749931503e-06,
273,4.798444500011101e-06,
277,4.845447750085441e-06,
281,4.925764999825333e-06,
285,4.970393500116188e-06,
289,5.024171500281227e-06,
293,5.0872379997599635e-06,
297,5.152050749984483e-06,
301,5.198774750169832e-06,
305,5.263727000055951e-06,
309,5.3145017500355605e-06,
313,5.3744255001220154e-06,
317,5.4365144997063905e-06,
321,5.722584250179352e-06,
325,5.786628749774536e-06,
329,5.848508000326547e-06,
333,5.9139492500435154e-06,
337,5.978761750156991e-06,
341,6.02527624960203e-06,
345,6.108247749580187e-06,
349,6.1641907500415985e-06,
353,6.222228750175418e-06,
357,6.287111250003363e-06,
361,6.332857250072266e-06,
365,6.400044499969226e-06,
369,6.501593749817403e-06,
373,6.4451620000909315e-06,
377,6.490977999874304e-06,
381,6.558724000115035e-06,
385,6.8183237499397365e-06,
389,6.9027619997541474e-06,
393,6.954723749913683e-06,
397,7.025473000339843e-06,
401,7.069682500059571e-06,
405,7.12387950034099e-06,
409,7.179822250236611e-06,
413,7.242679499995575e-06,
417,7.337803249811259e-06,
421,7.381803250154917e-06,
425,7.454018999851542e-06,
429,7.503047750105907e-06,
433,7.5279112502357745e-06,
437,7.586577749862045e-06,
441,7.673530250031035e-06,
445,7.702933500240761e-06,
449,8.01945400007753e-06,
453,8.102215750113828e-06,
457,8.175339749868727e-06,
461,8.229676249811745e-06,
465,8.21312375001071e-06,
469,8.26836824990096e-06,
473,8.320609500060528e-06,
477,8.393104749757185e-06,
481,8.450863750113058e-06,
485,8.489136499974848e-06,
489,8.597600250141113e-06,
493,8.62162525027088e-06,
497,8.698031749645451e-06,
501,8.722686000055545e-06,
505,8.847142999911739e-06,
509,8.863485749770917e-06,
